Product_Name,Category,Price,Review_Rating,Review_Text,Sentiment
Smartphone,Computers,212,1.6,Excellent performance and fast processing speed.,Negative
Smartwatch,Computers,843,2.4,"Great gaming experience, worth the price.",Negative
Fitness Tracker,Books,349,2.4,"Comfortable to hold, great for long reading sessions.",Negative
Wireless Headphones,Computers,1031,1.3,Stylish and durable but lacks some features.,Negative
Bluetooth Speaker,Computers,718,2.6,Perfect for reading and entertainment.,Negative
E-Book Reader,Gaming,517,4.3,"Great gaming experience, worth the price.",Positive
Digital Camera,Wearables,1047,2.1,"Comfortable to hold, great for long reading sessions.",Negative
Laptop,Computers,1211,3.1,"Great gaming experience, worth the price.",Positive
Fitness Tracker,Computers,653,2.8,Excellent performance and fast processing speed.,Negative
Tablet,Wearables,513,4.3,Amazing sound quality! Highly recommended.,Positive
Laptop,Electronics,1090,4.7,Excellent performance and fast processing speed.,Positive
E-Book Reader,Computers,1245,3.3,"Comfortable to hold, great for long reading sessions.",Positive
Tablet,Gaming,671,1.2,Excellent performance and fast processing speed.,Negative
Bluetooth Speaker,Photography,414,1.5,"Motivating fitness insights, very useful!",Negative
Digital Camera,Photography,1369,3.7,Amazing sound quality! Highly recommended.,Positive
E-Book Reader,Wearables,95,3.8,Perfect for reading and entertainment.,Positive
Smartwatch,Books,780,4.5,High-quality images but expensive.,Positive
E-Book Reader,Electronics,1142,2.4,High-quality images but expensive.,Negative
Gaming Console,Wearables,1031,3.5,"Comfortable to hold, great for long reading sessions.",Positive
Gaming Console,Gaming,603,1.7,Excellent performance and fast processing speed.,Negative
E-Book Reader,Electronics,563,1.6,High-quality images but expensive.,Negative
Gaming Console,Wearables,699,3.5,Stylish and durable but lacks some features.,Positive
Digital Camera,Books,1099,2.7,High-quality images but expensive.,Negative
E-Book Reader,Electronics,402,2.2,Battery life is short but performance is great.,Negative
Tablet,Electronics,441,2.4,Stylish and durable but lacks some features.,Negative
Tablet,Electronics,1209,4.0,Good bass but connectivity issues at times.,Positive
Smartphone,Electronics,184,2.0,"Comfortable to hold, great for long reading sessions.",Negative
Digital Camera,Computers,310,3.6,Battery life is short but performance is great.,Positive
Bluetooth Speaker,Books,389,4.6,High-quality images but expensive.,Positive
Smartwatch,Electronics,1157,2.4,Good bass but connectivity issues at times.,Negative
Smartwatch,Electronics,1026,4.8,"Comfortable to hold, great for long reading sessions.",Positive
Laptop,Computers,872,3.0,Perfect for reading and entertainment.,Positive
Bluetooth Speaker,Books,645,2.0,Battery life is short but performance is great.,Negative
Smartphone,Photography,941,1.4,Excellent performance and fast processing speed.,Negative
Gaming Console,Computers,315,2.1,Excellent performance and fast processing speed.,Negative
Gaming Console,Photography,738,1.4,Battery life is short but performance is great.,Negative
Smartphone,Wearables,1093,1.0,Excellent performance and fast processing speed.,Negative
Gaming Console,Books,869,2.5,"Comfortable to hold, great for long reading sessions.",Negative
E-Book Reader,Books,1475,3.3,Excellent performance and fast processing speed.,Positive
Gaming Console,Wearables,847,1.9,Good bass but connectivity issues at times.,Negative
Wireless Headphones,Computers,700,1.5,High-quality images but expensive.,Negative
E-Book Reader,Electronics,94,4.7,Stylish and durable but lacks some features.,Positive
Smartwatch,Gaming,1233,3.7,High-quality images but expensive.,Positive
Laptop,Wearables,280,4.0,"Motivating fitness insights, very useful!",Positive
E-Book Reader,Books,307,1.7,High-quality images but expensive.,Negative
Smartwatch,Electronics,570,4.0,Excellent performance and fast processing speed.,Positive
Laptop,Computers,825,1.3,High-quality images but expensive.,Negative
Smartwatch,Books,526,3.6,Amazing sound quality! Highly recommended.,Positive
Smartwatch,Photography,58,2.2,Good bass but connectivity issues at times.,Negative
E-Book Reader,Wearables,435,3.1,"Great gaming experience, worth the price.",Positive
Fitness Tracker,Computers,62,2.6,"Motivating fitness insights, very useful!",Negative
Bluetooth Speaker,Computers,57,2.1,Excellent performance and fast processing speed.,Negative
Bluetooth Speaker,Wearables,1470,4.3,"Motivating fitness insights, very useful!",Positive
Smartphone,Books,214,3.8,"Motivating fitness insights, very useful!",Positive
Fitness Tracker,Gaming,230,1.7,Battery life is short but performance is great.,Negative
Fitness Tracker,Wearables,498,3.0,"Great gaming experience, worth the price.",Positive
Wireless Headphones,Electronics,447,1.0,Stylish and durable but lacks some features.,Negative
Smartwatch,Photography,820,3.8,"Great gaming experience, worth the price.",Positive
Wireless Headphones,Computers,104,3.8,Battery life is short but performance is great.,Positive
Smartphone,Electronics,468,1.3,Good bass but connectivity issues at times.,Negative
Smartphone,Electronics,1335,3.6,Amazing sound quality! Highly recommended.,Positive
Tablet,Books,360,3.2,Good bass but connectivity issues at times.,Positive
Fitness Tracker,Books,1303,4.3,Excellent performance and fast processing speed.,Positive
Tablet,Gaming,431,4.9,"Comfortable to hold, great for long reading sessions.",Positive
Tablet,Computers,438,3.1,Excellent performance and fast processing speed.,Positive
Gaming Console,Books,281,1.3,Excellent performance and fast processing speed.,Negative
Laptop,Books,1094,4.3,Amazing sound quality! Highly recommended.,Positive
Laptop,Computers,1347,2.1,"Comfortable to hold, great for long reading sessions.",Negative
Smartwatch,Electronics,88,3.1,"Motivating fitness insights, very useful!",Positive
Laptop,Computers,1407,1.3,Stylish and durable but lacks some features.,Negative
Fitness Tracker,Electronics,557,4.0,Amazing sound quality! Highly recommended.,Positive
Bluetooth Speaker,Photography,721,1.4,"Great gaming experience, worth the price.",Negative
Tablet,Gaming,149,3.2,High-quality images but expensive.,Positive
Smartwatch,Photography,1494,3.7,Perfect for reading and entertainment.,Positive
Smartphone,Gaming,1278,3.3,Excellent performance and fast processing speed.,Positive
Smartwatch,Electronics,878,4.0,"Motivating fitness insights, very useful!",Positive
Smartwatch,Wearables,814,4.7,Amazing sound quality! Highly recommended.,Positive
Digital Camera,Wearables,454,4.2,"Great gaming experience, worth the price.",Positive
Fitness Tracker,Wearables,436,3.7,"Comfortable to hold, great for long reading sessions.",Positive
E-Book Reader,Electronics,415,2.4,Amazing sound quality! Highly recommended.,Negative
Smartphone,Electronics,1103,1.5,Good bass but connectivity issues at times.,Negative
Wireless Headphones,Electronics,902,1.1,"Comfortable to hold, great for long reading sessions.",Negative
Gaming Console,Electronics,71,3.6,Excellent performance and fast processing speed.,Positive
Smartphone,Wearables,1113,4.1,"Great gaming experience, worth the price.",Positive
Wireless Headphones,Photography,1412,2.9,Amazing sound quality! Highly recommended.,Negative
Fitness Tracker,Gaming,744,2.9,Good bass but connectivity issues at times.,Negative
Laptop,Books,92,3.5,Good bass but connectivity issues at times.,Positive
Smartwatch,Books,726,2.3,High-quality images but expensive.,Negative
Fitness Tracker,Electronics,1460,4.1,"Motivating fitness insights, very useful!",Positive
E-Book Reader,Photography,632,4.0,Amazing sound quality! Highly recommended.,Positive
Wireless Headphones,Electronics,1456,3.5,High-quality images but expensive.,Positive
Smartwatch,Photography,1339,3.1,High-quality images but expensive.,Positive
E-Book Reader,Electronics,493,1.9,Excellent performance and fast processing speed.,Negative
Smartphone,Computers,180,3.2,Perfect for reading and entertainment.,Positive
Digital Camera,Photography,52,4.6,Excellent performance and fast processing speed.,Positive
Smartphone,Computers,752,2.0,High-quality images but expensive.,Negative
Smartphone,Books,894,3.0,Amazing sound quality! Highly recommended.,Positive
Bluetooth Speaker,Computers,724,2.6,Battery life is short but performance is great.,Negative
Wireless Headphones,Wearables,867,5.0,Battery life is short but performance is great.,Positive
Bluetooth Speaker,Electronics,115,4.4,"Great gaming experience, worth the price.",Positive
